,사업자번호,,211-10-21870,298-04-00449,720-32-00051,261-81-02257,201-06-71129,,211-87-84329,120-87-43696,745-87-00012,211-86-76652,261-81-03770,,,,,,면적,54.4,195,81.2,81.2,74.5,107.2,81.7,108.3,73.9,99,50.49,58.1,44.4,,1109.39,,,고객번호,01-0312-1024,,,,,,검침일,,,,,면적,54.4,195,81.2,81.2,74.5,107.2,81.7,108.3,73.9,99,50.49,58.1,44.4,,1109.39,,,고객번호,,,,
,,B101,B102,101,102,201,202,301,302,401,402,501,502,503,,,,,전기계량,B101,B102,101,102,201,202,301,302,401,402,501,502,503,엘리베이터,건물전체,청구요금,TV,지침,사용량(청구),,,,,,홀수달3일,수도지침,사용량(톤),수도요금,,호수,B101,B102,101,102,201,202,301,302,401,402,501,502,503,,건물전체,청구요금,,지침,사용량(청구),,,
,,,바비스토리,롤리우드,제이랩,(주)디자인삼층,B&M커뮤니케이션,서울브레인,(주)세움아트,매스21,MKS,대한전기,테무,올고톡,,,,,매월11일,,바비스토리,롤리우드,제이랩,(주)디자인삼층,B&M커뮤니케이션,,(주)세움아트,매스21,MKS,대한전기,테무,번호2243,,,,,,,,,,,,수도요금납부조회,1599..3900,고객번호.029055972,,,,54.4,195,162.4,81.2,74.5,107.2,163.4,108.3,73.9,99,50.49,58.1,44.4,업장.가중,1272.29,,,,,,,
,2016년9월분,1000000,1600000,2300000,1600000,1800000,1800000,2500000,2200000,2300000,1750000,1730000,1300000,1300000,23180000,,,,2016.9.13.,946,,6340,,40758,,28197,,42243,,70699,,,1406,6200,,,,,,,,,,2016.9.2.,7013,222,462580,,,PNL,바비스토리,비스킷,제이랩,(주)디자인삼층,B&M커뮤니케이션,SBNC,(주)세움아트,매스21,MKS,대한전기,테무,올고톡,,1010.09,,,,,,,
,임대료(일할계산),633333.3333,1013333.333,1456666.667,1013333.333,1140000,1140000,1583333.333,1393333.333,1456666.667,1108333.333,1095666.667,823333.3333,,13857333.33,,,,,,,26106,,,,,,,,80722,,,,,,,,,,,,,,2016.11.3.,7230,217,455480,421588.939,,,81388.6318,67782.12208,33891.06104,31094.63112,44742.87861,,45201.99397,30844.20457,41320.3823,21073.39497,24249.6385,,421588.939,1227.89,,,,,,,
,VAT,63333.33333,101333.3333,145666.6667,101333.3333,114000,114000,158333.3333,139333.3333,145666.6667,110833.3333,109566.6667,82333.33333,,1385733.333,,,,2016.9.26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632383.4084,3개월 분,,122082.9477,101673.1831,50836.59156,46641.94669,67114.31792,,67802.99096,46266.30685,61980.57345,31610.09246,36374.45775,,632383.4084,,,,,,,,
,합계,696666.6667,1114666.667,1602333.333,1114666.667,1254000,1254000,1741666.667,1532666.667,1602333.333,1219166.667,1205233.333,905666.6667,,15243066.67,,,,,,,26359,,,,,,,,80844,,4978,,,,,,,,,,,,,,213,438820,,"11-12월분
",,78411.69625,65302.86908,32651.43454,29957.28908,43106.32737,,43548.64976,29716.02232,39809.01502,20302.59766,23362.66437,,406168.5655,,롤리우드5개월,166976.0522,,롤리우드.정산,,부가세,
,세금계산서,,"ㅇㅇ
",ㅇㅇ,ㅇㅇ,ㅇㅇ,ㅇㅇ,,ㅇㅇ,ㅇㅇ,ㅇㅇ,ㅇㅇ,ㅇㅇ,,,,,,2016.10.11.,2388,,7841,,41107,,28773,,42813,,71349,,,1680,,,,,,,,,,,2017.1.3.,7443,,,,상수계산,0.04155558441,0.1489584368,0.1240556417,0.06202782085,0.05690976174,0.08188894576,0.1248195311,0.08272922412,0.05645142809,0.07562505252,0.03856877678,0.04438197527,,0.9379721791,,월평균,33395.21044,,임대관리,1261290.323,126129.0323,1387419.355
,,,,,,,,,,,,,,,,,,,,3557,7617,27269,,9497,,34085,,,,80999,,4978,,,,,,,,,,,,2017.3.2.,7588,145,294050,,1-2월,12219.4196,43801.22833,36478.56144,18239.28072,16734.31544,24079.4445,36703.18313,24326.52835,16599.54243,22237.54669,11341.14881,13050.51983,,275810.7193,1227.89,3/1~17,18313.5025,,전기,149640,14964,164604
,2016년10월분,VAT별도,1600000,2300000,1600000,1800000,1800000,,2200000,2300000,1750000,1730000,1300000,1300000,19680000,,,,2016.10.24.,2872,,8120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48922.60272,,,,,,,,,,51708.71294,,수도,51708,,51708
